sample,group,batch
Sample_EW24,H2D,a
Sample_EW25,H2D,a
Sample_EW26,H2D,a
Sample_EW27,A2D,a
Sample_EW28,A2D,a
Sample_EW29,A2D,a
Sample_EW30,HICr,a
Sample_EW31,HICr,a
Sample_EW32,HICr,a
Sample_EW33,AICr,a
Sample_EW35,AICr,a
Sample_EW36,AICr,a
Sample_EW37,ctrlHA,a
Sample_EW38,ctrlHA,a
Sample_EW39,ctrlHA,a
Sample_EW40,M2D,b
Sample_EW41,M2D,b
Sample_EW42,M2D,b
Sample_EW43,MICr,b
Sample_EW44,MICr,b
Sample_EW45,MICr,b
Sample_EW46,MICr,b
Sample_EW47,ctrlM,b
Sample_EW48,ctrlM,b
